name,local_path,beauty_raw,status,beauty_1to5,department,avg_rating,avg_difficulty,would_take_again_percent,school_name
Rahul Jain,Rahul Jain.jpg,23.50499344,ok,1.58,Engineering,1.6,4.9,11.1,USC
Qiong  Wang,Qiong_Wang.jpg,30.30203247,ok,2.95,Engineering,4,2.5,100,UIUC
Priya Darshan Vashishta,Priya Darshan Vashishta.jpg,38.10233688,ok,4.33,Computer Science,5,1,100,USC
Prashant Mehta,Prashant_Mehta.jpg,37.16409683,ok,4.34,Engineering,2.8,4.1,40,UIUC
Prasanta K. Kalita,Prasanta_K._Kalita.jpg,37.60856628,ok,4.4,Engineering,4.2,1.7,66.7,UIUC
Pramod  Viswanath,Pramod_Viswanath.jpg,29.71755981,ok,2.77,Engineering,3.7,3.5,-1,UIUC
Placid Ferreira,Placid_Ferreira.jpg,32.81300735,ok,3.57,Engineering,2.8,2.6,50,UIUC
Pirouz Kavehpour,Pirouz Kavehpour.jpg,25.61355019,ok,1.91,Engineering,2.3,2.7,-1,UCLA
Pin Wang,Pin Wang.jpg,21.38511658,ok,1.32,Engineering,3,4,0,USC
Pierson Clair,Pierson Clair.jpg,32.77871704,ok,3.32,Engineering,4.4,3.3,80,USC
Philip T. Krein,Philip_T._Krein.jpg,36.43249893,ok,4.26,Engineering,4,3.2,-1,UIUC
Petros A Ioannou,Petros A Ioannou.jpg,41.64650345,ok,4.58,Engineering,2.4,3.8,38.5,USC
Peter Adshead,Peter_Adshead.jpg,25.97896576,ok,1.7,Physics,3.9,2.9,87.5,UIUC
Peter  Abbamonte,Peter_Abbamonte.jpg,38.91850662,ok,4.54,Physics,4,3,100,UIUC
Paulo Branicio,Paulo Branicio.jpg,34.48506546,ok,3.77,Engineering,5,2.7,98.9,USC
Paul V. Braun,Paul_V._Braun.jpg,30.85850143,ok,3.15,Engineering,4.8,2.3,-1,UIUC
Paul Selvin,Paul_Selvin.jpg,28.97646713,ok,2.57,Physics,1.8,3,0,UIUC
Paul S. Rosenbloom,Paul S. Rosenbloom.jpg,28.24271393,ok,2.53,Computer Science,1.6,3.8,-1,USC
Paul Plucinsky,Paul Plucinsky.jpg,35.051548,ok,3.92,Engineering,4.2,2.8,60,USC
Paul K. Newton,Paul K. Newton.jpg,28.24695969,ok,2.55,Engineering,4.5,3.1,84.6,USC
Paul G. Kwiat,Paul_G._Kwiat.jpg,35.73496246,ok,4.08,Physics,4.2,3.5,87,UIUC
Paul Eggert,Paul Eggert.jpg,30.52239418,ok,3.73,Computer Science,2.7,4.6,20,UCLA
Paul David Ronney,Paul David Ronney.jpg,19.62641525,ok,1.1,Engineering,3.3,3.4,59.5,USC
Paul C. Davidson,Paul_C._Davidson.jpg,46.39287186,ok,4.8,Engineering,5,1,100,UIUC
Patrick Joseph Lynett,Patrick Joseph Lynett.jpg,22.19956589,ok,1.44,Engineering,5,3,100,USC
Patricia Clayton,Patricia_Clayton.jpg,25.84532166,ok,2,Engineering,5,1.7,100,WFU
Parag Havaldar,Parag Havaldar.jpg,21.5442543,ok,1.35,Computer Science,4.6,3.1,83.3,USC
Panagiotis Christofides,Panagiotis Christofides.jpg,24.43902588,ok,1.36,Engineering,5,1.5,100,UCLA
Pablo Parrilo,Pablo Parrilo.jpg,26.28616524,ok,1.92,Engineering,4,3.8,50,MIT
Oussama Safadi,Oussama Safadi.jpg,21.92743683,ok,1.39,Engineering,3.7,3.1,57.6,USC
Oral Buyukozturk,Oral Buyukozturk.jpg,40.51399994,ok,4.69,Engineering,3.5,2.7,-1,MIT
Olivier L. de Weck,Olivier L. de Weck.jpg,33.3734436,ok,3.62,Engineering,4,2,100,MIT
Olivier de Weck,Olivier de Weck.png,36.65575409,ok,4.23,Engineering,4,2,100,MIT
Olgica  Milenkovic,Olgica_Milenkovic.jpg,24.50848389,ok,1.38,Engineering,3.6,3,66.7,UIUC
Olga Mironenko,Olga_Mironenko.jpg,25.86952209,ok,1.66,Electrical & Computer Engineering,5,2.5,100,UIUC
Oded Stein,Oded Stein.png,37.28596115,ok,4.2,Computer Science,4.4,3.6,80,USC
Nora Ayanian,Nora Ayanian.jpg,28.11630249,ok,2.5,Computer Science,5,3,100,USC
Noah Malmstadt,Noah Malmstadt.jpg,20.96537781,ok,1.22,Engineering,3.3,3.3,62.5,USC
Ning Wang,Ning Wang.jpg,37.62365341,ok,4.26,Computer Science,1.5,3.9,18.2,USC
Nicolas  Yunes,Nicolas_Yunes.jpg,36.83177567,ok,4.3,Physics,2,2,0,UIUC
Nickvash  Kani,Nickvash_Kani.jpg,24.72894096,ok,1.5,Electrical & Computer Engineering,4.2,3.6,83.3,UIUC
Nick G. Glumac,Nick_G._Glumac.jpg,29.26142311,ok,2.67,Engineering,2.9,3.7,27.3,UIUC
Nenad Medvidovic,Nenad Medvidovic.jpeg,27.722229,ok,2.36,Computer Science,3.5,3.6,60,USC
Neil Siegel,Neil Siegel.jpg,31.11715126,ok,3.04,Engineering,5,1,100,USC
Neda Maghsoodi,Neda Maghsoodi.jpeg,32.47120667,ok,3.26,Engineering,4.9,3.4,100,USC
Navid Nastar,Navid Nastar.jpg,33.57533646,ok,3.58,Engineering,4.5,2.5,100,USC
Naresh R. Shanbhag,Naresh_R._Shanbhag.jpg,35.44632339,ok,4.04,Engineering,3.5,3.7,25,UIUC
Naomi C R Makins,Naomi_C_R_Makins.jpg,36.04143906,ok,4.2,Physics,4.6,3.3,100,UIUC
Nam Sung  Kim,Nam_Sung_Kim.jpg,35.81464005,ok,4.14,Engineering,3,4.3,25,UIUC
Naira Hovakimyan,Naira_Hovakimyan.jpg,86.96855164,ok,5,Engineering,4,4,75,UIUC
Murali Annavaram,Murali Annavaram.jpg,25.6674881,ok,1.95,Engineering,4.5,3.9,81.3,USC
Mukund Raghothaman,Mukund Raghothaman.jpg,27.11447906,ok,2.24,Computer Science,5,2,100,USC
Morten  Lundsgaard,Morten_Lundsgaard.jpg,29.74542236,ok,2.81,Physics,3.2,2.4,55.6,UIUC
Mohammed Beshir,Mohammed Beshir.jpg,33.27252579,ok,3.55,Engineering,3.9,2.5,90.9,USC
Mohammad Soleymani,Mohammad Soleymani.jpg,38.2825737,ok,4.37,Computer Science,5,2,100,USC
Mohammad Reza Rajati,Mohammad Reza Rajati.jpeg,47.80112457,ok,4.81,Engineering,3.3,3.3,56.9,USC
Moe Z. Win,Moe Z. Win.jpg,31.14110947,ok,3.15,Engineering,4.9,2.7,100,MIT
Moe Win,Moe Win.jpg,41.31788254,ok,4.85,Engineering,4.9,2.7,100,MIT
Moe Tabar,Moe Tabar.png,28.8263607,ok,2.66,Engineering,2.8,3.3,50,USC
Mitul Luhar,Mitul Luhar.jpg,28.05973244,ok,2.47,Engineering,4.9,3.1,100,USC
Minjoo Lawrence Lee,Minjoo_Lawrence_Lee.jpg,31.12521362,ok,3.19,Electrical & Computer Engineering,4,3,75,UIUC
Ming-Deh A. Huang,Ming-Deh A. Huang.jpg,27.49964523,ok,2.31,Computer Science,4.2,3.5,100,USC
Milton  Feng,Milton_Feng.jpg,32.72303391,ok,3.55,Engineering,1.5,1.7,-1,UIUC
Mike Gruntman,Mike Gruntman.jpg,31.58520508,ok,3.1,Engineering,3.5,3.6,50,USC
Michelle Lynn Povinelli,Michelle Lynn Povinelli.png,26.69620895,ok,2.11,Engineering,2.7,2.2,100,USC
Michael Zyda,Michael Zyda.jpg,49.85886765,ok,4.85,Computer Science,2.3,2.7,33.3,USC
Michael Stone,Michael_Stone.jpg,35.34946823,ok,4,Physics,2.6,3.9,40,UIUC
Michael James Neely,Michael James Neely.jpg,37.46485519,ok,4.23,Engineering,4.3,3.4,80,USC
Michael B. Weissman,Michael_B._Weissman.jpg,37.96151352,ok,4.42,Physics,4.1,2.3,-1,UIUC
Michael A. Arbib,Michael A. Arbib.jpg,28.67333984,ok,2.64,Computer Science,2.8,4.3,-1,USC
Melkior  Ornik,Melkior_Ornik.jpg,27.57955551,ok,2.15,Engineering,4.9,3.3,100,UIUC
Melissa Kenny,Melissa_Kenny.jpg,27.30340195,ok,4,Engineering,3.8,2.9,76.9,WFU
Meisam Razaviyayn,Meisam Razaviyayn.jpg,40.35832977,ok,4.55,Engineering,4.6,2.9,91.7,USC
Meida Chen,Meida Chen.jpg,24.68811226,ok,1.74,Engineering,5,2,100,USC
Megan McCain,Megan McCain.jpg,29.20301437,ok,2.74,Engineering,4.8,3.3,100,USC
Megan Griebel,Megan_Griebel.jpg,27.08852768,ok,2.01,Engineering,3.5,3.5,50,UIUC
Matthias  Grosse Perdekamp,Matthias_Grosse_Perdekamp.jpg,28.9974823,ok,2.59,Physics,3.8,1.9,100,UIUC
Matthew Whiting,Matthew Whiting.jpg,34.74132538,ok,3.82,Computer Science,4.7,3.4,94.4,USC
Matthew Gilpin,Matthew Gilpin.jpg,44.70597076,ok,4.75,Engineering,4,4.1,81.3,USC
Massoud Pirbazari,Massoud Pirbazari.jpg,43.92797089,ok,4.72,Engineering,2.4,2.8,33.3,USC
Massoud Pedram,Massoud Pedram.jpg,32.44581985,ok,3.25,Engineering,3.7,4,72.7,USC
Maryam Shanechi,Maryam Shanechi.jpg,52.06173325,ok,4.9,Engineering,4.3,4.3,100,USC
Maryam Pishgar,Maryam Pishgar.jpeg,33.22626495,ok,3.54,Computer Science,4.3,2.9,82.1,USC
Martin Prescher,Martin Prescher.jpg,30.09397316,ok,2.88,Engineering,5,2.7,100,USC
Martin D F Wong,Martin_D_F_Wong.jpg,30.28069305,ok,2.93,Engineering,3.5,3.5,-1,UIUC
Martin A Gundersen,Martin A Gundersen.jpg,19.763937,ok,1.12,Engineering,2.5,4.3,-1,USC
Mark William Redekopp,Mark William Redekopp.jpg,27.31419182,ok,2.28,Engineering,4.4,3.3,83,USC
Mark Hasegawa-Johnson,Mark_Hasegawa-Johnson.jpg,24.61299896,ok,1.46,Engineering,4,3.4,80,UIUC
Mark Drela,Mark Drela.jpg,37.77437973,ok,4.38,Engineering,5,3,-1,MIT
Mark  Neubauer,Mark_Neubauer.jpg,20.45859909,ok,1.04,Physics,3,2.5,50,UIUC
Marie Agathe Charpagne,Marie_Agathe_Charpagne.jpg,29.95287704,ok,2.89,Engineering,5,2,100,UIUC
Mariana  Silva,Mariana_Silva.jpg,28.42984962,ok,2.41,Engineering,3.4,2.6,40.5,UIUC
Marco Papa,Marco Papa.jpg,19.77138329,ok,1.13,Computer Science,3,3.8,47.5,USC
Marco Paolieri,Marco Paolieri.jpg,20.60173988,ok,1.2,Computer Science,5,3.3,100,USC
Maral Mousavi,Maral Mousavi.jpg,26.8952713,ok,2.17,Engineering,3,4.5,50,USC
Mansour Rahimi,Mansour Rahimi.jpg,28.1590786,ok,2.52,Engineering,3,2,100,USC
Mani Srivastava,Mani Srivastava.png,32.1697464,ok,4.27,Engineering,2.3,4,-1,UCLA
Mahta Moghaddam,Mahta Moghaddam.jpg,20.15045547,ok,1.15,Engineering,5,4,100,USC
Mahdi Soltanolkotabi,Mahdi Soltanolkotabi.jpeg,37.66435623,ok,4.28,Engineering,4.3,3.3,66.7,USC
Mahdi Eslamimehr,Mahdi Eslamimehr.jpg,39.60754395,ok,4.5,Computer Science,5,1.8,100,USC
Maged M. Dessouky,Maged M. Dessouky.jpg,24.19282913,ok,1.66,Engineering,3.3,2.3,100,USC
Magdi  Ragheb,Magdi_Ragheb.jpg,29.92899704,ok,2.87,Engineering,3.3,1.9,33.3,UIUC
Lynford L. Goddard,Lynford_L._Goddard.jpg,27.73158073,ok,2.19,Engineering,4.8,3.4,100,UIUC
