name,school_name,local_path
Vwani Roychowdhury,UCLA,Vwani Roychowdhury.jpg
Behzad Razavi,UCLA,Behzad Razavi.jpg
Yahya Rahmat-Samii,UCLA,Yahya Rahmat-Samii.jpg
Gregory Pottie,UCLA,Gregory Pottie.jpg
Sudhakar Pamarti,UCLA,Sudhakar Pamarti.jpg
Warren Mori,UCLA,Warren Mori.jpg
Ankur Mehta,UCLA,Ankur Mehta.png
Dejan Markovic,UCLA,Dejan Markovic.jpg
Jia-Ming Liu,UCLA,Jia-Ming Liu.jpg
Marcelo Chamecki,UCLA,Marcelo Chamecki.png
Peng Hu,UCLA,Peng Hu.jpg
Tim Fisher,UCLA,Tim Fisher.jpg
William Hsu,UCLA,William Hsu.jpg
Vijay Gupta,UCLA,Vijay Gupta.jpg
Robert Gunsalus,UCLA,Robert Gunsalus.jpg
Thomas Graeber,UCLA,Thomas Graeber.jpg
Christopher Giza,UCLA,Christopher Giza.jpg
Jonathan Kao,UCLA,Jonathan Kao.jpg
William Kaiser,UCLA,William Kaiser.jpg
Chandrashekhar Joshi,UCLA,Chandrashekhar Joshi.jpg
Mona Jarrahi,UCLA,Mona Jarrahi.jpg
Vijay Dhir,UCLA,Vijay Dhir.jpg
Subramanian Iyer,UCLA,Subramanian Iyer.jpg
Alan Garfinkel,UCLA,Alan Garfinkel.jpg
Mohamed Abdou,UCLA,Mohamed Abdou.jpg
Lei He,UCLA,Lei He.jpg
Puneet Gupta,UCLA,Puneet Gupta.jpg
Christina Fragouli,UCLA,Christina Fragouli.jpg
Sam Emaminejad,UCLA,Sam Emaminejad.jpg
Benjamin Ellingson,UCLA,Benjamin Ellingson.jpg
Jeff Eldredge,UCLA,Jeff Eldredge.jpg
Lara Dolecek,UCLA,Lara Dolecek.jpg
Suhas Diggavi,UCLA,Suhas Diggavi.jpg
Babak Daneshrad,UCLA,Babak Daneshrad.jpg
Chi On Chui,UCLA,Chi On Chui.jpg
M. C. Frank Chang,UCLA,M. C. Frank Chang.jpg
Victor Edgerton,UCLA,Victor Edgerton.jpg
Joseph DiStefano,UCLA,Joseph DiStefano.jpg
Katrina Dipple,UCLA,Katrina Dipple.jpg
